,item_num,rivew,rivew_date
0,0,"처음 배송 받았을 땐 1키로가 생각보다 적네? 했는데.. 웬걸.. 팬에 다 붓고 나니 엄청 많은 양이더라구요.. 고기가 뭉쳐 있었을 뿐 ..

이미 고기도 많지만 준비한 야채 듬뿍 버섯 듬뿍 당면 듬뿍!!!

야채 넣으실 땐 간을 좀 다시 해야할 것 같아요!

가족들이 다들 약간 국물도 있는 불고기를 좋아해서 국물 약간 자작 하게, 야채 듬뿍 넣었더니 많이 싱거워지더라구요

설탕+간장 더 넣었어요!! 그래도 다른 간 추가 없이 간장 설탕만 추가로 넣어도 완벽하게 맛있는 불고기..

나중에 야채 거의 안 넣고 바짝 볶아서 빵에 넣어 먹어도 너무 맛있을 것 같아요!!

불고기 거리 사다가 해먹으려다가 컬리 불고기나 불고기감이나 가격이 비슷하길래 컬리 불고기 샀는데 대 성공..!!! 앞으로 자주 사 먹을 것 같아요!!

강추강추강추 입미다..!!!!

쌈, 버거, 어른 아이 반찬 그냥 다 좋아요!!!!!!!!

꼭 사세요 두 번 사세요..!!!!


양 많은 것 같은 분들은 소분해서 드세용",2022.05.10
1,0,"양이 많아 소분해서 냉동해놓고 완벽하게 다 먹고 쓰는 솔직후기입니다:)

양념 소불고기는 언제나 먹어도 맛있는 반찬이죠!
무려 1kg이라서 양도 넉넉합니다
한번에 먹기는 힘들어서 소분해놓고 냉동실로 직행하고 나머지는 바로 조리해보았어요
컬리에서 함께 주문한 버섯들도 넣어줬구요
짜다는 후기가 있었는데 야채를 함께 넣으면 야채에서 수분이 나와서 인지 짜다는 느낌은 없었어요!
꼭 버섯이 아니더라도 양파나 파 양배추 등이 있으시다면 함께 넣어서 조리해주세요 훨씬 더 맛있는 불고기가 되어요:-)

저희4인 가족 한끼 넉넉하게 먹었어요~질기지 않고 연해서 아이들도 엄청 잘 먹었구요!

몇 일 지나고 뭐 먹지 하다가 냉동실에 얼려둔 소분했던 불고기를 조리해서 이번엔 덮밥을 해먹었는데 냉동실에 갔다와도 맛은 변함이 없더라구요ㅎㅎ
역시나 너무 맛있었습니다!

완벽하게 1kg을 아주 맛있게 잘 먹었어요~
다음에는 불고기를 국물없을때까지 바싹하게 구워서 샌드위치로 만들어먹어도 참 맛있겠다라는 생각을 했습니다!

소불고기만 있으면 다른반찬 걱정없네요~:-)",2021.09.07
2,0,즐겨먹는 불고기입니다. 자주 사먹어요 양도 많고 맛있어요.,2023.03.09
3,0,"야채조금 첨가해서먹었어요.안짜서 너무 좋습니다~
맛있어요~",2023.03.09
4,0,달짝지근해서 맛있습니다. 고기위주로 들어있어서 내가 원하는 채소넣고 먹으니까 좋아요.,2023.03.09
5,0,양도많고 가성비 좋아요,2023.03.09
6,0,중간중간 질긴거 간혹?있지만 전체적으로 부드럽고 맛있어요~저는 간장ㆍ올리고당ㆍ후추 조금씩 추가하니 간이 딱맞았어요~^^,2023.03.09
7,0,맛있어요.. 재구매 의사 있습니다,2023.03.09
8,0,양도 많고 어제 반틈 먹고 냉동실에 반 얼려놔뒀습니다~~ 간이 딱 알맞고 맛나요,2023.03.09
9,0,알배기랑 쌈장에 싸먹으면 참 맛있어요,2023.03.09
